n,k,edge_mask,bipartization_min
3,3,7,1
4,4,63,2
5,3,220,1
5,3,234,1
5,3,316,1
5,3,358,1
5,3,425,1
5,3,453,1
5,3,570,1
5,3,598,1
5,3,665,1
5,3,707,1
5,3,789,1
5,3,803,1
5,5,1023,4
6,4,7071,3
6,4,7161,3
6,4,7519,3
6,4,7669,3
6,4,8058,3
6,4,8118,3
6,4,10143,3
6,4,10233,3
6,4,11487,3
6,4,11757,3
6,4,12026,3
6,4,12206,3
6,4,13631,3
6,4,13811,3
6,4,14204,3
6,4,14294,3
6,4,14527,3
6,4,14827,3
6,4,15100,3
6,4,15310,3
6,4,16051,3
6,4,16085,3
6,4,16171,3
6,4,16205,3
6,4,18271,3
6,4,18421,3
6,4,19167,3
6,4,19437,3
6,4,20214,3
6,4,20334,3
6,4,21311,3
6,4,21491,3
6,4,22460,3
6,4,22490,3
6,4,22655,3
6,4,23015,3
6,4,23804,3
6,4,24014,3
6,4,24179,3
6,4,24281,3
6,4,24359,3
6,4,24461,3
6,4,25279,3
6,4,25579,3
6,4,25727,3
6,4,26087,3
6,4,27580,3
6,4,27610,3
6,4,28028,3
6,4,28118,3
6,4,28267,3
6,4,28327,3
6,4,28505,3
6,4,28565,3
6,4,29430,3
6,4,29550,3
6,4,29946,3
6,4,30126,3
6,4,30325,3
6,4,30393,3
6,4,30535,3
6,4,30603,3
6,4,31098,3
6,4,31158,3
6,4,31341,3
6,4,31431,3
6,4,31545,3
6,4,31635,3
6,4,31917,3
6,4,31947,3
6,4,32053,3
6,4,32083,3
6,6,32767,6
